Bowler,runs_scored,balls_faced,dismissals,strike_rate,innings_vs_bowler,never_out,batting_average
A Dananjaya,53,67,1,79.1044776119403,5,False,53
A Martin,40,60,2,66.6666666666667,5,False,20
A Zampa,302,296,6,102.027027027027,16,False,50.3333333333333
AC Agar,105,136,2,77.2058823529412,7,False,52.5
AD Mathews,187,251,2,74.5019920318725,25,False,93.5
AD Russell,106,117,1,90.5982905982906,9,False,106
AF Milne,75,77,0,97.4025974025974,4,True,Not Out
AJ McKay,45,59,3,76.271186440678,4,False,15
AK Markram,46,47,0,97.8723404255319,7,True,Not Out
AL Phehlukwayo,125,128,2,97.65625,8,False,62.5
AR Nurse,88,93,0,94.6236559139785,5,True,Not Out
AS Joseph,78,70,3,111.428571428571,8,False,26
AU Rashid,112,131,5,85.4961832061069,10,False,22.4
Abdur Razzak,102,98,1,104.081632653061,5,False,102
BA Stokes,91,102,3,89.2156862745098,9,False,30.3333333333333
BAW Mendis,132,126,1,104.761904761905,7,False,132
BMAJ Mendis,55,47,0,117.021276595745,3,True,Not Out
C Bosch,68,51,0,133.333333333333,3,True,Not Out
C Connolly,26,32,0,81.25,2,True,Not Out
C Green,39,45,0,86.6666666666667,4,True,Not Out
C Karunaratne,57,42,0,135.714285714286,3,True,Not Out
C de Grandhomme,69,63,1,109.52380952381,5,False,69
CAK Rajitha,82,51,1,160.78431372549,4,False,82
CH Morris,117,156,1,75,8,False,117
CJ Anderson,67,63,0,106.349206349206,4,True,Not Out
CJ McKay,81,76,3,106.578947368421,9,False,27
CR Brathwaite,33,35,1,94.2857142857143,2,False,33
CR Woakes,86,98,3,87.7551020408163,11,False,28.6666666666667
D Bishoo,138,143,2,96.5034965034965,8,False,69
DAJ Bracewell,43,52,0,82.6923076923077,4,True,Not Out
DJ Bravo,101,83,1,121.686746987952,7,False,101
DJ Willey,56,70,2,80,7,False,28
DJG Sammy,116,151,2,76.8211920529801,12,False,58
DL Vettori,27,40,1,67.5,3,False,27
DN Wellalage,33,41,2,80.4878048780488,4,False,16.5
DW Steyn,99,133,3,74.4360902255639,12,False,33
FA Allen,71,76,0,93.421052631579,4,True,Not Out
GD Phillips,56,60,0,93.3333333333333,4,True,Not Out
GJ Maxwell,164,188,2,87.2340425531915,17,False,82
GP Swann,63,90,4,70,6,False,15.75
HMRKB Herath,114,132,2,86.3636363636364,10,False,57
Hasan Ali,45,38,1,118.421052631579,3,False,45
IS Sodhi,89,73,3,121.917808219178,6,False,29.6666666666667
Imran Tahir,197,196,1,100.510204081633,11,False,197
J Botha,66,64,0,103.125,5,True,Not Out
JA Richardson,35,58,4,60.3448275862069,6,False,8.75
JC Tredwell,62,63,1,98.4126984126984,6,False,62
JDS Neesham,98,86,0,113.953488372093,6,True,Not Out
JE Root,42,31,0,135.483870967742,4,True,Not Out
JE Taylor,66,51,1,129.411764705882,4,False,66
JM Anderson,26,39,3,66.6666666666667,6,False,8.66666666666667
JO Holder,224,262,5,85.4961832061069,19,False,44.8
JP Duminy,111,118,0,94.0677966101695,11,True,Not Out
JP Faulkner,137,120,2,114.166666666667,10,False,68.5
JR Hazlewood,67,106,5,63.2075471698113,11,False,13.4
JT Ball,31,31,0,100,2,True,Not Out
JW Dernbach,121,99,0,122.222222222222,9,True,Not Out
JW Hastings,63,89,3,70.7865168539326,5,False,21
K Rabada,138,196,2,70.4081632653061,11,False,69
KA Jamieson,35,51,1,68.6274509803922,6,False,35
KA Maharaj,78,125,2,62.4,6,False,39
KA Pollard,79,73,1,108.219178082192,10,False,79
KAJ Roach,284,284,3,100,20,False,94.6666666666667
KD Mills,42,58,0,72.4137931034483,7,True,Not Out
KDC Clarke,54,53,2,101.88679245283,3,False,27
KMA Paul,38,47,1,80.8510638297872,4,False,38
KMDN Kulasekara,196,277,2,70.7581227436823,22,False,98
KW Richardson,87,88,1,98.8636363636364,7,False,87
L Ngidi,132,135,1,97.7777777777778,9,False,132
LE Plunkett,70,76,1,92.1052631578947,5,False,70
LH Ferguson,91,77,1,118.181818181818,5,False,91
LL Tsotsobe,56,80,2,70,8,False,28
LMP Simmons,27,36,0,75,4,True,Not Out
M Jansen,68,56,0,121.428571428571,4,True,Not Out
M Morkel,131,165,4,79.3939393939394,18,False,32.75
MA Starc,162,174,2,93.1034482758621,15,False,81
MA Wood,40,56,1,71.4285714285714,6,False,40
MF Maharoof,44,68,2,64.7058823529412,5,False,22
MG Bracewell,42,39,1,107.692307692308,4,False,42
MG Johnson,83,87,1,95.4022988505747,7,False,83
MJ Henry,57,67,2,85.0746268656717,6,False,28.5
MJ McClenaghan,55,44,1,125,3,False,55
MJ Santner,181,260,3,69.6153846153846,17,False,60.3333333333333
ML Cummins,37,40,0,92.5,3,True,Not Out
MM Ali,89,115,3,77.3913043478261,9,False,29.6666666666667
MN Samuels,117,137,1,85.4014598540146,7,False,117
MP Stoinis,116,114,2,101.754385964912,11,False,58
MR Marsh,67,73,0,91.7808219178082,5,True,Not Out
MVT Fernando,88,64,1,137.5,4,False,88
Mahmudullah,59,61,0,96.7213114754098,6,True,Not Out
Mashrafe Mortaza,32,37,0,86.4864864864865,6,True,Not Out
Mehedi Hasan Miraz,69,82,0,84.1463414634146,5,True,Not Out
Mohammad Amir,40,41,2,97.5609756097561,4,False,20
Mohammad Hafeez,24,39,0,61.5384615384615,3,True,Not Out
Mustafizur Rahman,68,60,1,113.333333333333,6,False,68
N Burger,31,38,1,81.5789473684211,2,False,31
N Pradeep,27,32,2,84.375,3,False,13.5
NL McCullum,95,116,1,81.8965517241379,7,False,95
NLTC Perera,260,265,5,98.1132075471698,24,False,52
NM Coulter-Nile,66,91,3,72.5274725274725,8,False,22
NM Lyon,100,104,0,96.1538461538462,5,True,Not Out
NT Ellis,39,38,1,102.631578947368,3,False,39
Naeem Islam,52,42,0,123.809523809524,4,True,Not Out
Naseem Shah,40,43,0,93.0232558139535,3,True,Not Out
O Thomas,82,63,0,130.15873015873,4,True,Not Out
OC McCoy,52,36,0,144.444444444444,2,True,Not Out
P Subrayen,45,35,0,128.571428571429,1,True,Not Out
P Utseya,36,60,2,60,3,False,18
PJ Cummins,174,179,2,97.2067039106145,17,False,87
PM Pushpakumara,42,43,0,97.6744186046512,2,True,Not Out
PM Siddle,30,31,0,96.7741935483871,3,True,Not Out
PWH de Silva,76,80,1,95,6,False,76
R Rampaul,127,146,6,86.986301369863,10,False,21.1666666666667
R Ravindra,36,46,0,78.2608695652174,2,True,Not Out
RAS Lakmal,87,89,0,97.752808988764,5,True,Not Out
RE van der Merwe,20,36,1,55.5555555555556,2,False,20
RL Chase,48,60,0,80,4,True,Not Out
RMS Eranga,47,48,1,97.9166666666667,4,False,47
RS Bopara,48,48,0,100,6,True,Not Out
Rubel Hossain,81,86,2,94.1860465116279,8,False,40.5
S Prasanna,99,106,1,93.3962264150944,6,False,99
S Randiv,85,110,4,77.2727272727273,8,False,21.25
SB Styris,29,32,0,90.625,2,True,Not Out
SC Meaker,27,34,0,79.4117647058824,1,True,Not Out
SCJ Broad,28,36,0,77.7777777777778,3,True,Not Out
SJ Benn,41,53,0,77.3584905660377,3,True,Not Out
SL Malinga,225,230,2,97.8260869565217,20,False,112.5
SM Boland,75,62,1,120.967741935484,3,False,75
SP Narine,55,66,2,83.3333333333333,6,False,27.5
SR Patel,109,115,2,94.7826086956522,8,False,54.5
SR Watson,62,62,2,100,7,False,31
SS Cottrell,46,42,1,109.52380952381,4,False,46
ST Finn,84,115,2,73.0434782608696,12,False,42
Saeed Ajmal,64,63,1,101.587301587302,4,False,64
Shadab Khan,40,45,0,88.8888888888889,3,True,Not Out
Shafiul Islam,39,41,0,95.1219512195122,4,True,Not Out
Shaheen Shah Afridi,54,47,1,114.893617021277,4,False,54
Shahid Afridi,56,57,1,98.2456140350877,4,False,56
Shakib Al Hasan,140,148,5,94.5945945945946,11,False,28
Syed Rasel,19,31,0,61.2903225806452,3,True,Not Out
T Shamsi,47,67,1,70.1492537313433,4,False,47
T Thushara,35,64,3,54.6875,6,False,11.6666666666667
TA Boult,164,156,3,105.128205128205,13,False,54.6666666666667
TG Southee,231,221,7,104.524886877828,18,False,33
TL Chatara,36,51,0,70.5882352941177,3,True,Not Out
TM Dilshan,94,119,2,78.9915966386555,10,False,47
TT Bresnan,84,122,3,68.8524590163934,14,False,28
Taskin Ahmed,35,37,1,94.5945945945946,5,False,35
Umar Gul,53,57,2,92.9824561403509,3,False,26.5
WD Parnell,59,63,0,93.6507936507936,6,True,Not Out
WPUJC Vaas,53,71,1,74.6478873239437,3,False,53
Wahab Riaz,104,92,1,113.04347826087,6,False,104
XJ Doherty,83,76,0,109.210526315789,5,True,Not Out
